date,open,high,low,ltp,percent_change,qty,turnover
2026-02-12,100.0,100.0,100.0,100.0,0.0,57386,28693000.0
2025-12-29,100.0,100.0,100.0,100.0,0.0,250,125000.0
2025-12-24,100.0,100.0,100.0,100.0,0.0,550,275300.0
2025-12-23,100.0,100.0,100.0,100.0,0.0,11750,5879500.0
2025-11-27,100.0,100.0,100.0,100.0,0.0,2200,1155000.0
2025-11-10,100.0,100.0,100.0,100.0,0.0,55615,27807500.0
2025-11-09,100.0,100.0,100.0,100.0,0.0,22655,11327500.0
2025-11-06,100.0,100.0,100.0,100.0,0.0,103060,51530000.0
2025-11-05,100.0,100.0,100.0,100.0,0.0,25000,12500000.0
2025-11-04,100.0,100.0,100.0,100.0,0.0,44670,22335000.0
2025-08-12,100.0,100.0,100.0,100.0,0.0,78500,39250000.0
2025-07-16,100.0,100.0,100.0,100.0,0.0,750,450000.0
2025-07-02,100.0,100.0,100.0,100.0,0.0,20500,10865000.0
2025-07-01,100.0,100.0,100.0,100.0,0.0,8000,4240000.0
2025-06-25,100.0,100.0,100.0,100.0,0.0,151520,81820800.0
2025-04-22,100.0,100.0,100.0,100.0,0.0,750,397500.0
2025-04-21,100.0,100.0,100.0,100.0,0.0,6950,3778300.0
2025-04-20,100.0,100.0,100.0,530.0,0.0,20450,10863250.0
2025-02-20,100.0,100.0,100.0,100.0,0.0,176140,93576200.0
2025-02-09,100.0,100.0,100.0,100.0,0.0,26000,15908000.0
2024-12-26,100.0,100.0,100.0,100.0,0.0,25000,15275000.0
2024-12-17,100.0,100.0,100.0,100.0,0.0,500,320500.0
2024-12-11,100.0,100.0,100.0,100.0,0.0,500,303000.0
2024-12-09,100.0,100.0,100.0,100.0,0.0,19500,12623750.0
2024-12-08,100.0,100.0,100.0,100.0,0.0,750,486000.0
2022-02-15,100.0,100.0,100.0,100.0,0.0,478338,47833800.0
2026-02-17,100.0,100.0,100.0,100.0,0.0,80000,40000000.0
