#,nepali_fy,fy_end,fy_high,fy_high_date,fy_low,fy_low_date
1,2057/2058,348.43,545.82,2000-11-23,322.74,2001-07-10
2,2058/2059,227.54,352.25,2001-07-16,186.22,2002-03-15
3,2059/2060,204.86,230.01,2002-08-26,198.44,2003-01-24
4,2060/2061,222.04,227.83,2004-07-06,195.14,2004-04-01
5,2061/2062,286.67,298.78,2005-05-04,222.65,2004-07-16
6,2062/2063,386.83,388.49,2006-05-15,287.9,2006-06-17
7,2063/2064,683.95,683.95,2007-07-16,355.6,2006-08-03
8,2064/2065,963.36,1064.09,2007-12-17,677.98,2007-07-18
9,2065/2066,749.1,1175.38,2008-08-31,609.46,2009-01-21
10,2066/2067,477.73,739.02,2009-07-20,405.45,2010-04-28
11,2067/2068,362.85,468.53,2010-07-18,292.31,2011-06-15
12,2068/2069,389.74,432.83,2012-05-08,298.9,2012-03-29
13,2069/2070,518.3,555.73,2013-02-17,384.89,2012-07-16
14,2070/2071,1036.11,1036.98,2014-07-13,509.3,2013-07-16
15,2071/2072,961.23,1083.55,2014-07-21,837.83,2015-05-27
16,2072/2073,1718.15,1724.59,2016-06-29,963.23,2015-07-22
17,2073/2074,1582.67,1881.45,2016-07-27,1252.5,2017-02-12
18,2074/2075,1212.36,1667.94,2017-08-07,1168.55,2018-03-26
19,2075/2076,1259.01,1349.38,2019-05-30,1098.95,2019-03-05
20,2076/2077,1362.34,1632.17,2020-02-27,1110.08,2019-11-24
21,2077/2078,2883.38,3025.82,2021-06-14,1381.37,2020-08-06
22,2078/2079,2009.46,3198.6,2021-08-18,1848.28,2022-06-23
23,2079/2080,2097.09,2211.76,2023-01-09,1815.13,2022-09-25
24,2080/2081,2240.41,2290.95,2024-07-14,1817.94,2023-11-05
